Số tuyến,Lộ trình đi,Lộ trình về,Khoảng cách,Giờ hoạt động,Thời gian chuyến,Giãn cách,Loại xe,Đơn vị vận hành
47,"Chợ LớnBến xe buýt Chợ Lớn A, Quận 5","Hưng LongBãi xe Hưng LongĐoàn Nguyễn Tuấn, Huyện Bình Chánh","17,3 km",04:00 - 19:00,50 phút,10 – 14 phút,Golden Dragon B55,
48,"Bến xe buýtTân PhúTrường Chinh, Quận Tân Phú","Chợ Hiệp ThànhBến xe buýt Hiệp ThànhHiệp Thành 17, Quận 12",21 km,04:30 - 19:45,55 phút,13 – 20 phút,Samco City I.40,HTX Vận tải 19/5
50,"Trường Đại học Bách khoaLý Thường Kiệt, Quận 10","Đại học Quốc giaBến xe buýt khu A, Đại học Quốc giaThành phố Thủ Đức","28,6 km",05:30 - 18:30,65 phút,15 – 25 phút,Samco City I.51 CNG,
52,Bến ThànhBến xe buýt Sài GònQuận 1,"22,53 km",05:10 - 18:15,70 phút,10 - 30 phút,Samco City I.47,,Tiền mặtThẻ ngân hàng
53,"Lê Hồng PhongBãi xe đường Lê Hồng Phong, Quận 5","Đại học Quốc giaBến xe buýt Ký túc xá khu B, Đại học Quốc giaThành phố Thủ Đức","32,8 km",05:00 - 19:30,75 phút,4 – 14 phút,1-5auto NewCity B55 CNG,
55,"Công viên phần mềm Quang TrungBãi xe Công viên phần mềm Quang TrungQuốc lộ 1A, Quận 12","Bến xe buýt Văn ThánhNguyễn Văn Thương, Quận Bình Thạnh","16,8 km",05:00 - 19:30,55 phút,6 – 15 phút,Samco City H.68 CNG,
56,"Chợ LớnBến xe buýt Chợ Lớn A, Quận 5","Bến xe Miền Đông mớiQuốc lộ 1A, Thành phố Thủ Đức","29,35 km",05:00 - 21:00,80 phút,5 – 13 phút,1-5auto NewCity B55,
57,"Chợ Phước BìnhTrường trung cấp nghề TP.HCM cơ sở IIIĐại lộ 3, Thành phố Thủ Đức","Trường THPT Hiệp BìnhHiệp Bình, Thành phố Thủ Đức","13,1 km",05:00 - 18:30,42 phút,10 – 20 phút,Golden Dragon B55,
58,"Bến xe Ngã tư GaQuốc lộ 1A, Quận 12","Khu Công nghiệp Đông NamTỉnh lộ 8, Huyện Củ Chi","20,8 km",05:00 - 19:00,60 phút,12 – 20 phút,Samco City I.40,
59,"Bến xe buýtQuận 8Quốc lộ 50, Quận 8","Bến xe Ngã tư GaQuốc lộ 1A, Quận 12","23,7 km",04:50 - 19:00,87 phút,9 – 17 phút,Samco City I.47Samco City I.51,
61,"Chợ LớnBến xe buýt Chợ Lớn B, Quận 5","Khu công nghiệpLê Minh XuânTrần Đại Nghĩa, Huyện Bình Chánh","17,73 km",04:45 - 19:00,50 phút,12 – 15 phút,Golden Dragon B55,
62,"Bến xe buýtQuận 8Quốc lộ 50, Quận 8","Thới AnBến xe buýt Thới AnLê Văn Khương, Quận 12",24 km,05:00 - 19:00,75 – 85 phút,12 – 18 phút,Samco City I.47,
64,"Bến xe Miền ĐôngĐinh Bộ Lĩnh, Quận Bình Thạnh","Đầm SenBến xe buýt Đầm SenHòa Bình, Quận 11",18 km,05:30 - 19:00,55 – 65 phút,10 – 17 phút,,Tiền mặtThẻ ngân hàng
65,"Bến ThànhBến xe buýt Sài Gòn,Quận 1","Bến xe An SươngQuốc lộ 22, Huyện Hóc Môn","16,3 km",04:45 - 20:45,50 – 70 phút,10 – 12 phút,Samco Hi-Class I.50,"Công ty TNHH Du lịch, Dịch vụ Xây dựng Bảo Yến (Bao Yen Group)"
67,"Bến xe Miền ĐôngĐinh Bộ Lĩnh, Quận Bình Thạnh","Bến xe Miền Đông mớiQuốc lộ 1A, Thành phố Thủ Đức","19,2 km",03:00 - 22:45,50 phút,30 – 45 phút,Tracomeco Citybus B40Tracomeco Starbus B55,
68,"Chợ LớnBến xe buýt Chợ Lớn B, Quận 5","Đại học Tài chính - MarketingĐường số 13 (Ngô Thị Nhạn), Quận 7","19,8 km",05:00 - 19:00,65 phút,12 – 20 phút,Golden Dragon B55,
69,Bến ThànhBến xe buýt Sài GònQuận 1,"Khu dân cư Vĩnh LộcTrường Trí Tuệ ViệtĐường số 3, Quận Bình Tân","22,45 km",05:00 - 20:00,85 phút,12 – 22 phút,Samco City I.51,
70,"Tân QuyBến xe buýt Tân QuyTỉnh lộ 8, Huyện Củ Chi","Bến SúcBến xe buýt Bến SúcTỉnh lộ 15, Huyện Củ Chi","25,65 km",04:00 - 20:20,60 phút,15 – 20 phút,Samco City I.40,HTX Vận tải 19/5
71,"Bến xe An SươngQuốc lộ 22, Huyện Hóc Môn","Phật Cô ĐơnBãi xe Phật Cô ĐơnMai Bá Hương, Huyện Bình Chánh","24,6 km",05:20 - 19:00,65 phút,12 – 18 phút,Samco City I.30Samco City I.40,
